Year,Month,State,Labor Force,Employed,Unemployed,Unemployment Rate,Industry,Gender,Education Level
2022,May,NY,70000,63000,7000,10.00%,Education,Female,Associate's degree
2022,May,CA,1270000,1148000,122000,9.61%,Manufacturing,Male,Bachelor's degree
2022,May,CA,750000,675000,75000,10.00%,Retail,Female,High school diploma
2022,Jun,NY,160000,144000,16000,10.00%,Energy,Male,Bachelor's degree
2022,Jun,NY,85000,76500,8500,10.00%,Retail,Female,High school diploma
2022,Jun,CA,15301000,14138000,1163000,7.60%,Agriculture,Female,High school diploma
2022,Jun,CA,11389000,10531000,858000,7.53%,Healthcare,Male,Bachelor's degree
2022,Jul,CA,130000,117000,13000,10.00%,Manufacturing,Male,Bachelor's degree
2022,Jul,CA,85000,76500,8500,10.00%,Healthcare,Female,High school diploma
2022,Jul,NY,980000,882000,98000,10.00%,Agriculture,Male,High school diploma
2022,Jul,NY,415000,373500,41500,10.00%,Healthcare,Female,Bachelor's degree
2022,Aug,NY,110000,99000,11000,10.00%,Finance,Male,Master's degree
2022,Aug,NY,75000,67500,7500,10.00%,Education,Female,Associate's
2022,Aug,CA,150000,133100,16900,11.27%,Finance,Male,Master's degree
2022,Aug,CA,95000,85500,9500,10.00%,Retail,Female,Bachelor's degree
2022,Sep,NY,200000,180000,20000,10.00%,Energy,Male,Bachelor's degree
2022,Sep,NY,105000,94500,10500,10.00%,Healthcare,Female,High school diploma
2022,Sep,CA,140000,126000,14000,10.00%,Manufacturing,Male,Bachelor's degree
2022,Sep,CA,90000,81000,9000,10.00%,Retail,Female,High school diploma
2022,Oct,CA,145000,130500,14500,10.00%,Manufacturing,Male,Bachelor's degree
2022,Oct,CA,110000,99000,11000,10.00%,Retail,Female,High school diploma
2022,Oct,NY,87000,73950,13050,15.00%,Energy,Male,Bachelor's degree
2022,Oct,NY,46000,39100,6900,15.00%,Healthcare,Female,High school diploma
2022,Nov,NY,120000,98000,22000,18.33%,Finance,Male,Master's degree
2022,Nov,NY,80000,72000,8000,10.00%,Education,Female,Associate's degree
2022,Nov,CA,60000,51000,9000,15.00%,Manufacturing,Male,Master's degree
2022,Nov,CA,39000,33150,5850,15.00%,Retail,Female,Associate's degree
2022,Dec,NY,170000,153000,17000,10.00%,Agriculture,Male,Bachelor's degree
2022,Dec,NY,90000,81000,9000,10.00%,Healthcare,Female,High school diploma
2022,Dec,CA,125000,115625,9375,7.50%,Manufacturing,Male,Master's degree
2022,Dec,CA,110000,101400,8600,7.82%,Retail,Female,High school diploma
2023,Jan,NY,130000,117000,13000,10.00%,Technology,Male,Bachelor's degree
2023,Jan,NY,85000,76500,8500,10.00%,Retail,Female,High school diploma
2023,Jan,CA,105000,94500,10500,10.00%,Retail,Male,Bachelor's degree
2023,Jan,CA,75000,67500,7500,10.00%,Education,Female,High school diploma
2023,Feb,CA,150000,135000,15000,10.00%,Manufacturing,Male,Bachelor's degree
2023,Feb,CA,115000,93500,21500,18.70%,Retail,Female,High school diploma
2023,Feb,NY,120000,108000,12000,10.00%,Manufacturing,Male,Associate's degree
2023,Feb,NY,85000,76500,8500,10.00%,Finance,Female,High school diploma
2023,Mar,NY,125000,112500,12500,10.00%,Finance,Male,Master's degree
2023,Mar,NY,75000,67500,7500,10.00%,Education,Female,Associate's degree
2023,Mar,CA,15282000,14079000,1203000,7.87%,Education,Female,Bachelor's degree
2023,Mar,CA,11374000,10516000,858000,7.54%,Healthcare,Male,High school diploma
2023,Apr,NY,190000,171000,19000,10.00%,Energy,Male,Bachelor's degree
2023,Apr,NY,100000,90000,10000,10.00%,Healthcare,Female,Bachelor's degree
2023,Apr,CA,135000,121500,13500,10.00%,Agriculture,Male,High school diploma
2023,Apr,CA,95000,85500,9500,10.00%,Wholesale Trade,Female,Bachelor's degree
1995,Jan,NY,790000,712000,78000,9.87%,Retail,Male,High school diploma
1995,Jan,NY,215000,195000,20000,9.30%,Healthcare,Female,Bachelor's degree
1995,Jan,CA,130000,117000,13000,10.00%,Retail,Male,Bachelor's degree
1995,Jan,CA,90000,81000,9000,10.00%,Healthcare,Female,High school diploma
1995,Feb,CA,1060000,961000,99000,9.34%,Manufacturing,Male,Bachelor's degree
1995,Feb,CA,650000,589000,61000,9.38%,Education,Female,High school diploma
1995,Feb,NY,126000,115000,11000,8.73%,Agriculture,Male,Master's degree
1995,Feb,NY,86000,78000,8000,9.30%,Retail,Female,Associate's degree
1995,Mar,NY,820000,739000,81000,9.88%,Finance,Male,Master's degree
1995,Mar,NY,305000,275000,30000,9.84%,Retail,Female,Associate's degree
1995,Mar,CA,130000,120750,9250,7.12%,Manufacturing,Male,Master's degree
1995,Mar,CA,115000,106950,8050,7.00%,Retail,Female,Bachelor's degree
1995,Apr,NY,875000,788000,87000,9.94%,Agriculture,Male,High school diploma
1995,Apr,NY,325000,293000,32000,9.85%,Healthcare,Female,Bachelor's degree
1995,Apr,CA,140000,126000,14000,10.00%,Wholesale Trade,Male,Bachelor's degree
1995,Apr,CA,105000,94500,10500,10.00%,Retail,Female,High school diploma
1995,May,CA,1270000,1148000,122000,9.61%,Manufacturing,Male,Bachelor's degree
1995,May,CA,690000,675000,15000,2.17%,Retail,Female,High school diploma
1995,May,NY,170000,144500,25500,15.00%,Manufacturing,Male,High school diploma
1995,May,NY,110000,93500,16500,15.00%,Education,Female,Master's degree
1995,Jun,NY,895000,805500,89500,10.00%,Finance,Male,Master's degree
1995,Jun,NY,405000,364500,40500,10.00%,Education,Female,Associate's degree
1995,Jun,CA,135000,126900,8100,6.00%,Manufacturing,Male,Master's degree
1995,Jun,CA,120000,112200,7800,6.50%,Retail,Female,High school diploma
1995,Jul,NY,980000,882000,98000,10.00%,Agriculture,Male,High school diploma
1995,Jul,NY,415000,373500,41500,10.00%,Healthcare,Female,Bachelor's degree
1995,Jul,CA,140000,126000,14000,10.00%,Manufacturing,Male,Bachelor's degree
1995,Jul,CA,105000,94500,10500,10.00%,Retail,Female,High school diploma
1995,Aug,CA,1440000,1296000,144000,10.00%,Manufacturing,Male,Bachelor's degree
1995,Aug,CA,900000,810000,90000,10.00%,Retail,Female,High school
1995,Aug,NY,200000,180000,20000,10.00%,Energy,Male,Bachelor's degree
1995,Aug,NY,105000,94500,10500,10.00%,Healthcare,Female,High school diploma
1995,Sep,NY,110000,99000,11000,10.00%,Wholesale Trade,Male,High school diploma
1995,Sep,NY,80000,72000,8000,10.00%,Healthcare,Female,Bachelor's degree
1995,Sep,CA,140000,126000,14000,10.00%,Manufacturing,Male,Bachelor's degree
1995,Sep,CA,90000,81000,9000,10.00%,Retail,Female,High school diploma
1995,Oct,CA,125000,112500,12500,10.00%,Manufacturing,Male,High school diploma
1995,Oct,CA,95000,85500,9500,10.00%,Finance,Female,Master's degree
1995,Oct,NY,118000,107000,11000,9.32%,Finance,Male,Bachelor's degree
1995,Oct,NY,71000,64000,7000,9.86%,Agriculture,Female,High school diploma
1995,Nov,NY,105000,94500,10500,10.00%,Education,Male,Associate's degree
1995,Nov,NY,70000,63000,7000,10.00%,Energy,Female,High school diploma
1995,Nov,CA,132000,121000,11000,8.33%,Healthcare,Male,Master's degree
1995,Nov,CA,88000,80000,8000,9.09%,Retail,Female,Associate's degree
1995,Dec,NY,140000,126000,14000,10.00%,Wholesale Trade,Male,Bachelor's degree
1995,Dec,NY,75000,67500,7500,10.00%,Healthcare,Female,High school diploma
1995,Dec,CA,220000,202400,17600,8.00%,Manufacturing,Male,Bachelor's degree
1995,Dec,CA,105000,94500,10500,10.00%,Retail,Female,High school diploma
1996,Jan,CA,130000,117000,13000,10.00%,Retail,Male,Bachelor's degree
1996,Jan,CA,90000,81000,9000,10.00%,Healthcare,Female,High school diploma
1996,Jan,NY,131200,120500,10700,8.16%,Retail,Male,Bachelor's degree
1996,Jan,NY,90000,81000,9000,10.00%,Healthcare,Female,High school diploma
1996,Feb,NY,120000,108000,12000,10.00%,Manufacturing,Male,Associate's degree
1996,Feb,NY,85000,76500,8500,10.00%,Finance,Female,High school diploma
1996,Feb,CA,80000,68000,12000,15.00%,Manufacturing,Male,Associate's degree
1996,Feb,CA,75000,68000,7000,9.33%,Finance,Female,High school diploma
1996,Mar,NY,150000,135000,15000,10.00%,Education,Male,Master's degree
1996,Mar,NY,70000,63000,7000,10.00%,Energy,Female,High school diploma
1996,Mar,CA,131200,120500,10700,8.16%,Education,Male,Master's degree
1996,Mar,CA,75000,69000,6000,8.00%,Wholesale Trade,Female,High school diploma
1996,Apr,CA,135000,121500,13500,10.00%,Agriculture,Male,High school diploma
1996,Apr,CA,95000,85500,9500,10.00%,Healthcare,Female,Bachelor's degree
1996,Apr,NY,88000,80000,8000,9.09%,Agriculture,Male,High school diploma
1996,Apr,NY,75000,68000,7000,9.33%,Healthcare,Female,Bachelor's degree
1996,May,NY,115000,103500,11500,10.00%,Retail,Male,Associate's degree
1996,May,NY,75000,67500,7500,10.00%,Finance,Female,High school diploma
1996,May,CA,95000,85500,9500,10.00%,Retail,Male,Associate's degree
1996,May,CA,80000,67500,12500,15.63%,Finance,Female,High school diploma
1996,Jun,NY,160000,144000,16000,10.00%,Manufacturing,Male,Bachelor's degree
1996,Jun,NY,85000,76500,8500,10.00%,Healthcare,Female,High school diploma
1996,Jun,CA,30000,25500,4500,15.00%,Manufacturing,Male,Bachelor's degree
1996,Jun,CA,60000,51000,9000,15.00%,Healthcare,Female,High school diploma
1996,Jul,NY,118000,100300,17700,15.00%,Education,Male,Bachelor's degree
1996,Jul,NY,62000,52700,9300,15.00%,Retail,Female,High school diploma
1996,Jul,CA,98000,83300,14700,15.00%,Education,Male,Bachelor's degree
1996,Jul,CA,75000,52700,22300,29.73%,Retail,Female,High school diploma
1996,Aug,CA,80000,68000,12000,15.00%,Healthcare,Male,Master's degree
1996,Aug,CA,52000,44200,7800,15.00%,Wholesale Trade,Female,Associate's degree
1996,Aug,NY,15282000,7800500,7481500,48.96%,Healthcare,Male,Master's degree
1996,Aug,NY,52000,44200,7800,15.00%,Manufacturing,Female,Associate's degree
1996,Sep,NY,62000,52700,9300,15.00%,Finance,Male,Bachelor's degree
1996,Sep,NY,40000,34000,6000,15.00%,Agriculture,Female,High school diploma
1996,Sep,CA,66000,52700,13300,20.15%,Finance,Male,Bachelor's degree
1996,Sep,CA,11374000,11134000,240000,2.11%,Agriculture,Female,High school diploma
1996,Oct,NY,87000,73950,13050,15.00%,Energy,Male,Bachelor's degree
1996,Oct,NY,46000,39100,6900,15.00%,Healthcare,Female,High school diploma
1996,Oct,CA,118000,73950,44050,37.33%,Energy,Male,Bachelor's degree
1996,Oct,CA,66000,39100,26900,40.76%,Healthcare,Female,High school diploma
1996,Nov,CA,60000,51000,9000,15.00%,Manufacturing,Male,Master's degree
1996,Nov,CA,39000,33150,5850,15.00%,Retail,Female,Associate's degree
1996,Nov,NY,80000,68000,12000,15.00%,Manufacturing,Male,Master's degree
1996,Nov,NY,52000,44200,7800,15.00%,Retail,Female,Associate's degree
1996,Dec,NY,46000,39100,6900,15.00%,Education,Male,Bachelor's degree
1996,Dec,NY,30000,25500,4500,15.00%,Healthcare,Female,High school diploma
1996,Dec,CA,15301000,14138000,1163000,7.60%,Education,Male,Bachelor's degree
1996,Dec,CA,11389000,10531000,858000,7.53%,Healthcare,Female,High school diploma
1997,Jan,NY,98000,83300,14700,15.00%,Agriculture,Male,Bachelor's degree
1997,Jan,NY,51000,43350,7650,15.00%,Healthcare,Female,High school diploma
1997,Jan,CA,7364000,6833000,531000,7.21%,Wholesale Trade,Male,Bachelor's degree
1997,Jan,CA,15301000,14138000,1163000,7.60%,Healthcare,Female,High school diploma
1997,Feb,CA,66000,56100,9900,15.00%,Finance,Male,Master's degree
1997,Feb,CA,43000,36550,6450,15.00%,Retail,Female,Associate's degree
1997,Feb,NY,11404000,10546000,858000,7.52%,Finance,Male,Master's degree
1997,Feb,NY,9309000,8673000,636000,6.83%,Retail,Female,Associate's degree
1997,Mar,CA,15282000,14079000,1203000,7.87%,Education,Female,Bachelor's degree
1997,Mar,CA,11374000,10516000,858000,7.54%,Healthcare,Male,High school diploma
1997,Mar,NY,6886000,6420000,466000,6.77%,Education,Female,Bachelor's degree
1997,Mar,NY,9723000,9021000,702000,7.22%,Healthcare,Male,High school diploma
1997,Apr,NY,9226000,8558000,668000,7.24%,Manufacturing,Female,Master's degree
1997,Apr,NY,6813000,6332000,481000,7.06%,Retail,Male,Associate's degree
1997,Apr,CA,98000,83300,14700,15.00%,Manufacturing,Female,Master's degree
1997,Apr,CA,51000,43350,7650,15.00%,Retail,Male,Associate's degree
1997,May,NY,9642000,8929000,713000,7.39%,Finance,Female,High school diploma
1997,May,NY,7364000,6833000,531000,7.21%,Energy,Male,Bachelor's degree
1997,May,CA,46000,39100,6900,15.00%,Finance,Female,High school diploma
1997,May,CA,30000,25500,4500,15.00%,Energy,Male,Bachelor's degree
1997,Jun,CA,15301000,14138000,1163000,7.60%,Agriculture,Female,High school diploma
1997,Jun,CA,11389000,10531000,858000,7.53%,Healthcare,Male,Bachelor's degree
1997,Jun,NY,9800000,9082500,717500,7.32%,Agriculture,Female,High school diploma
1997,Jun,NY,8700000,8047500,652500,7.50%,Healthcare,Male,Bachelor's degree
1997,Jul,NY,9277000,8626000,651000,7.02%,Education,Female,Associate's degree
1997,Jul,NY,6886000,6420000,466000,6.77%,Retail,Male,Bachelor's degree
1997,Jul,CA,9800000,9082500,717500,7.32%,Education,Female,Associate's degree
1997,Jul,CA,8700000,8047500,652500,7.50%,Retail,Male,Bachelor's degree
1997,Aug,NY,9723000,9021000,702000,7.22%,Manufacturing,Female,High school diploma
1997,Aug,NY,7457000,6923000,534000,7.16%,Healthcare,Male,Bachelor's degree
1997,Aug,CA,9723000,9021000,702000,7.22%,Manufacturing,Female,High school diploma
1997,Aug,CA,6723000,4621000,2102000,31.27%,Healthcare,Male,Bachelor's degree
1997,Sep,CA,9226000,8558000,668000,7.24%,Energy,Female,Associate's degree
1997,Sep,CA,11404000,10546000,858000,7.52%,Education,Male,High school diploma
1997,Sep,NY,8700000,8047500,652500,7.50%,Energy,Female,Associate's degree
1997,Sep,NY,9277000,8626000,651000,7.02%,Wholesale Trade,Male,High school diploma
1997,Oct,NY,9309000,8673000,636000,6.83%,Healthcare,Female,Bachelor's degree
1997,Oct,NY,6935000,6472000,463000,6.68%,Retail,Male,Bachelor's degree
1997,Oct,CA,11389000,10531000,858000,7.53%,Healthcare,Female,Bachelor's degree
1997,Oct,CA,9800000,9082500,717500,7.32%,Retail,Male,Bachelor's degree
1997,Nov,CA,15450000,14460000,990000,6.41%,Healthcare,Male,Master's degree
1997,Nov,CA,9800000,9082500,717500,7.32%,Retail,Female,High school diploma
1997,Nov,NY,9870000,9169500,700500,7.10%,Healthcare,Male,Master's degree
1997,Nov,NY,8800000,8154000,646000,7.34%,Retail,Female,High school diploma
1997,Dec,NY,8700000,8047500,652500,7.50%,Finance,Male,Bachelor's degree
1997,Dec,NY,5500000,5115000,385000,7.00%,Education,Female,Associate's degree
1997,Dec,CA,8700000,8047500,652500,7.50%,Finance,Male,Bachelor's degree
1997,Dec,CA,9723000,9021000,702000,7.22%,Education,Female,Associate's degree
1998,Jan,NY,10015000,9266000,749000,7.48%,Manufacturing,Male,Bachelor's degree
1998,Jan,NY,6400000,5908000,492000,7.69%,Agriculture,Female,High school diploma
1998,Jan,CA,10060000,9318000,742000,7.38%,Manufacturing,Male,Bachelor's degree
1998,Jan,CA,872000,806000,66000,7.57%,Agriculture,Female,High school diploma
1998,Feb,CA,15620000,14615000,1005000,6.43%,Healthcare,Male,Master's degree
1998,Feb,CA,9870000,9169500,700500,7.10%,Retail,Female,High school diploma
1998,Feb,NY,9870000,9169500,700500,7.10%,Healthcare,Male,Master's degree
1998,Feb,NY,8800000,8154000,646000,7.34%,Retail,Female,High school diploma
1998,Mar,NY,8800000,8154000,646000,7.34%,Finance,Male,Bachelor's degree
1998,Mar,NY,5600000,5196000,404000,7.21%,Education,Female,Associate's degree
1998,Mar,CA,341000,316000,25000,7.33%,Finance,Male,Bachelor's degree
1998,Mar,CA,6400000,5944000,456000,7.13%,Education,Female,Associate's degree
1998,Apr,NY,10060000,9318000,742000,7.38%,Manufacturing,Male,Bachelor's degree
1998,Apr,NY,6400000,5944000,456000,7.13%,Agriculture,Female,High school diploma
1998,Apr,CA,46000,39100,6900,15.00%,Manufacturing,Male,Bachelor's degree
1998,Apr,CA,30000,25500,4500,15.00%,Agriculture,Female,High school diploma
1998,May,CA,15720000,14750000,970000,6.17%,Healthcare,Male,Master's degree
1998,May,CA,9880000,9258000,622000,6.30%,Retail,Female,High school diploma
1998,May,NY,135000,121500,13500,10.00%,Healthcare,Male,Master's degree
1998,May,NY,95000,85500,9500,10.00%,Retail,Female,High school diploma
1998,Jun,NY,8850000,8255000,595000,6.72%,Wholesale Trade,Male,Bachelor's degree
1998,Jun,NY,10060000,9318000,742000,7.38%,Manufacturing,Male,Bachelor's degree
1998,Jun,NY,118000,73950,44050,37.33%,Finance,Male,Bachelor's degree
1998,Jun,NY,66000,39100,26900,40.76%,Manufacturing,Male,Bachelor's degree
1998,Jul,NY,872000,806000,66000,7.57%,Retail,Male,Bachelor's degree
1998,Jul,NY,458000,425000,33000,7.21%,Finance,Female,High school diploma
1998,Jul,CA,82000,76840,5160,6.29%,Retail,Male,Bachelor's degree
1998,Jul,CA,145000,123250,21750,15.00%,Finance,Female,High school diploma
1998,Aug,CA,651000,606000,45000,6.91%,Healthcare,Male,Master's degree
1998,Aug,CA,382000,354000,28000,7.33%,Manufacturing,Female,Bachelor's degree
1998,Aug,NY,120000,112800,7200,6.00%,Healthcare,Male,Master's degree
1998,Aug,NY,82000,76840,5160,6.29%,Manufacturing,Female,Bachelor's degree
1998,Sep,NY,473000,440000,33000,6.98%,Education,Male,High school diploma
1998,Sep,NY,316000,292000,24000,7.59%,Energy,Female,Associate's degree
1998,Sep,CA,150000,135000,15000,10.00%,Education,Male,High school diploma
1998,Sep,CA,95000,85500,9500,10.00%,Energy,Female,Associate's degree
1998,Oct,NY,817000,754000,63000,7.71%,Agriculture,Male,Bachelor's degree
1998,Oct,NY,407000,378000,29000,7.13%,Retail,Female,High school diploma
1998,Oct,CA,125000,115625,9375,7.50%,Agriculture,Male,Bachelor's degree
1998,Oct,CA,110000,101400,8600,7.82%,Retail,Female,High school diploma
1998,Nov,CA,612000,568000,44000,7.19%,Healthcare,Male,Master's degree
1998,Nov,CA,360000,334000,26000,7.22%,Manufacturing,Female,Bachelor's degree
1998,Nov,NY,125000,118125,6875,5.50%,Healthcare,Male,Master's degree
1998,Nov,NY,85000,79875,5125,6.03%,Manufacturing,Female,Bachelor's degree
1998,Dec,NY,455000,421000,34000,7.47%,Education,Male,High school diploma
1998,Dec,NY,301000,279000,22000,7.31%,Energy,Female,Associate's degree
1998,Dec,CA,59000,53000,6000,10.17%,Education,Male,High school diploma
1998,Dec,CA,118000,107000,11000,9.32%,Energy,Female,Associate's degree
1999,Jan,NY,798000,740000,58000,7.27%,Agriculture,Male,Bachelor's degree
1999,Jan,NY,397000,369000,28000,7.05%,Retail,Female,High school diploma
1999,Jan,CA,230000,207000,23000,10.00%,Agriculture,Male,Bachelor's degree
1999,Jan,CA,120000,108000,12000,10.00%,Retail,Female,High school diploma
1999,Feb,CA,583000,541000,42000,7.20%,Healthcare,Male,Master's degree
1999,Feb,CA,341000,316000,25000,7.33%,Manufacturing,Female,Bachelor's degree
1999,Feb,NY,160000,148800,11200,7.00%,Healthcare,Male,Master's degree
1999,Feb,NY,82000,75960,6040,7.37%,Manufacturing,Female,Bachelor's degree
1999,Mar,NY,6400000,5944000,456000,7.13%,Wholesale Trade,Female,High school diploma
1999,Mar,NY,180000,162000,18000,10.00%,Energy,Male,Bachelor's degree
1999,Mar,CA,105000,98625,6375,6.07%,Healthcare,Female,High school diploma
1999,Mar,CA,85000,79500,5500,6.47%,Energy,Male,Bachelor's degree
1999,Apr,CA,140000,126000,14000,10.00%,Manufacturing,Male,Bachelor's degree
1999,Apr,CA,105000,94500,10500,10.00%,Retail,Female,High school diploma
1999,Apr,NY,63000,57000,6000,9.52%,Manufacturing,Male,Bachelor's degree
1999,Apr,NY,126000,115000,11000,8.73%,Retail,Female,High school diploma
1999,May,NY,115000,103500,11500,10.00%,Finance,Male,Master's degree
1999,May,NY,75000,67500,7500,10.00%,Education,Female,Associate's degree
1999,May,CA,84000,76600,7400,8.81%,Finance,Male,Master's degree
1999,May,CA,178000,161200,16800,9.44%,Education,Female,Associate's degree
1999,Jun,NY,160000,144000,16000,10.00%,Agriculture,Male,Bachelor's degree
1999,Jun,NY,85000,76500,8500,10.00%,Healthcare,Female,High school diploma
1999,Jun,CA,120000,118000,2000,1.67%,Agriculture,Male,Bachelor's degree
1999,Jun,CA,170000,153100,16900,9.94%,Healthcare,Female,High school diploma
1999,Jul,CA,140000,126000,14000,10.00%,Manufacturing,Male,Bachelor's degree
1999,Jul,CA,105000,94500,10500,10.00%,Retail,Female,High school diploma
1999,Jul,NY,98000,78300,19700,20.10%,Wholesale Trade,Male,Bachelor's degree
1999,Jul,NY,211000,144900,66100,31.33%,Retail,Female,High school diploma
1999,Aug,NY,115000,103500,11500,10.00%,Finance,Male,Master's degree
1999,Aug,NY,75000,67500,7500,10.00%,Education,Female,Associate's degree
1999,Aug,CA,180000,142000,38000,21.11%,Finance,Male,Master's degree
1999,Aug,CA,105000,95500,9500,9.05%,Education,Female,Associate's degree
1999,Sep,NY,190000,171000,19000,10.00%,Energy,Male,Bachelor's degree
1999,Sep,NY,100000,90000,10000,10.00%,Healthcare,Female,High school diploma
1999,Sep,CA,85000,79875,5125,6.03%,Energy,Male,Bachelor's degree
1999,Sep,CA,455000,421000,34000,7.47%,Healthcare,Female,High school diploma
1999,Oct,CA,140000,126000,14000,10.00%,Manufacturing,Male,Bachelor's degree
1999,Oct,CA,105000,94500,10500,10.00%,Retail,Female,High school diploma
1999,Oct,NY,9880000,9258000,622000,6.30%,Manufacturing,Male,Bachelor's degree
1999,Oct,NY,135000,121500,13500,10.00%,Retail,Female,High school diploma
1999,Nov,NY,95000,89300,5700,6.00%,Healthcare,Male,High school diploma
1999,Nov,NY,78000,72840,5160,6.62%,Finance,Female,Bachelor's degree
1999,Nov,CA,125000,118125,6875,5.50%,Healthcare,Male,High school diploma
1999,Nov,CA,85000,79875,5125,6.03%,Finance,Female,Bachelor's degree
1999,Dec,CA,125000,115625,9375,7.50%,Manufacturing,Male,Master's degree
1999,Dec,CA,110000,101400,8600,7.82%,Retail,Female,High school diploma
1999,Dec,NY,99000,91000,8000,8.08%,Manufacturing,Male,Master's degree
